序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,264559402289,523736783,哈基耄耋仙,5,保密,@老飞宇66,2025-06-14 13:41:44,0,1,,河北,否,https://i2.hdslb.com/bfs/face/6f307cec57c5f7f0a4f5089d7a7d3e4cbfbfd007.jpg
2,0,265603374832,1983429502,秋名山の叶,5,男,@浅落-Z @老飞宇66 舒服了[汤圆],2025-06-14 12:34:56,0,0,恩情还不完啊???,江苏,否,https://i1.hdslb.com/bfs/face/b291ba5880650093db15d180f81d83fcaed7ed0b.jpg
3,0,265573431760,1157407442,Litepet66,5,男,@老飞宇66,2025-06-14 07:03:57,0,0,"今天是昨天的明天
",山东,否,https://i2.hdslb.com/bfs/face/6c25df7e1a5e7a9031fa8523323569940b45988f.jpg
4,0,265543219488,3546748177877820,octo743146,4,男,我糊涂啊，当时怎么没投给你,2025-06-14 01:25:15,1,1,,江苏,否,https://i0.hdslb.com/bfs/face/778d1ae60981508f27e9cbd1ed560ab9097011f8.jpg
5,265543219488,265651684848,3546748177877820,octo743146,4,男,太纯了😭,2025-06-15 02:22:28,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/778d1ae60981508f27e9cbd1ed560ab9097011f8.jpg
6,0,265407398544,8907436,Quineeys,6,保密,虽然排名很低，但纯度毋庸置疑,2025-06-12 12:52:34,0,0,⊙该账号己被限制发言,吉林,否,https://i1.hdslb.com/bfs/face/5ddcf1473d09170da9f37a877a5735e9a9348d5b.jpg
7,0,264128480561,3493119129553496,CREXT遄舟,4,保密,《fu基 bass》,2025-06-09 22:49:07,0,1,,广东,否,https://i2.hdslb.com/bfs/face/b05797ea4ede28b97131a54e2d257762dde0da2e.jpg
8,0,265164512560,352456847,ANZKC,5,男,@老飞宇66,2025-06-09 17:47:44,0,0,明日方舟攻略向摸鱼玩家,江苏,是,https://i2.hdslb.com/bfs/face/f35dd1b26d92baf749b347452effccc27bac499f.jpg
9,0,264107052673,1354032776,下饭嘎子,5,男,@要开心1点__,2025-06-09 14:27:24,0,0,,广东,否,https://i2.hdslb.com/bfs/face/19bc399cb77873e7c9ad7b2bbb4652441c9b75aa.jpg
10,0,264083652673,527077356,社会问题分析,5,保密,不知道为什么，我收藏的大部分哈基米音乐，都是这个up的，我感觉这辈子我有了,2025-06-09 10:27:21,0,0,,福建,是,https://i0.hdslb.com/bfs/face/9e27f9ede9a88f13a93238405ee9c82e458ad787.jpg
