序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,265506798624,3493111999236329,是人弍不是人二,5,男,@VOODKAAA,2025-06-13 14:03:42,0,2,,黑龙江,否,https://i2.hdslb.com/bfs/face/5db4ce22a8074a9ed92d63c306b64244d159f2f7.jpg
2,0,264458660929,518446766,年季月季,2,男,@古神道粒 最后一个我发誓,2025-06-13 14:01:32,0,1,,辽宁,是,https://i2.hdslb.com/bfs/face/e9d2beb601b4f14615fe6e7f7cbfd40fe87cd25b.jpg
3,0,265474834912,263585938,多米雷特,6,男,听了ayasa那么多年歌，听这段又听哭了,2025-06-13 08:42:14,0,1,！xikule,广东,否,https://i1.hdslb.com/bfs/face/6c428dd99e20fa82d150c44920bb5253d9ad725c.jpg
4,0,265466963488,341253020,zydzydzyd,5,保密,@haien65,2025-06-13 06:56:32,0,1,,广东,是,http://i2.hdslb.com/bfs/face/71e90d2aeccf808ba71f478d41e588cc56928fc4.jpg
5,0,265429304016,3493128837270402,逍遥_frees,4,男,有一种录到一半发现自己是女的的震惊感,2025-06-12 18:48:15,0,2,谨言慎行,山东,否,https://i0.hdslb.com/bfs/face/52e7010d201a34085ade6ef32ae4449ee7c5a132.jpg
6,0,265400324544,396838039,AMA的ZON,6,保密,@老飞宇66,2025-06-12 11:13:59,0,1,,浙江,否,https://i1.hdslb.com/bfs/face/56752d8f4f9cd50fe46825dbb85ca21206bb94eb.jpg
7,0,264349731665,80710974,PS-D-FTL,6,保密,来个微信铃声求求了吧[大哭],2025-06-12 10:34:15,1,1,bi站大佬——我当定了～！,广东,否,http://i0.hdslb.com/bfs/face/640ebf52d43b411c84def9ba76cf449255c38292.jpg
8,264349731665,264349792785,1313101339,面点海,6,保密,有的，视频号搜索面点海,2025-06-12 10:34:55,0,0,"你好。我在做哈基米和音乐分享。
哈基米有灵感时开新坑，没灵感补完旧作品。
音乐分享则是上传b站没有或不全而我比较认可的专辑。
",辽宁,否,https://i1.hdslb.com/bfs/face/87ad25cc08b988f42e479be73c44760cab1812ef.jpg
9,0,264343681393,3493107328879551,薇薇缇咦,4,保密,@露堀谭,2025-06-12 09:20:16,0,1,,四川,否,https://i0.hdslb.com/bfs/face/1630a0124b1acd3e937e830f91798a17488472aa.jpg
10,0,264337668881,638593092,雾乃怡子,6,男,想对up哈气但是被减攻速了😡,2025-06-12 07:52:08,0,1,露比可爱捏,山东,否,https://i0.hdslb.com/bfs/face/8e903a61d76d5cf367ff4dc69c4579cee564084d.jpg
11,0,264325072321,1212233991,フィナーレ_Tunnel,5,男,基白之夜,2025-06-12 04:44:39,0,1,,辽宁,否,https://i0.hdslb.com/bfs/face/e63cb3acb3ebb13f926ad9d729a4109e0bd3bcf0.webp
12,0,265359466784,156814038,a-me1nmyheart,6,保密,@氢溴酸先生 @Syms_ @-shiaoo泡沫- @小沫不熬夜 @-峰峰公主- @zeronetwokg-,2025-06-12 01:44:38,0,1,,四川,否,https://i0.hdslb.com/bfs/face/ca005c523108e28fad111165f32b8235287ced94.jpg
13,0,265310693936,525185220,羡鱼_か,6,女,@如风幻灭 @任某黑的独特,2025-06-11 11:04:18,0,2,宿命中的游离，易碎且易逝,上海,否,https://i0.hdslb.com/bfs/face/8a78ef2b0f4c652158c0960a81b81a1879881881.jpg
14,0,265305224496,288700738,A_red_ghost,6,保密,面占火（灬）水（氵）每又何尝不是一种五字id（ps.灬和氵在篆书中就直接写作火和水，我们今天看到的这两个偏旁基本都是隶变之后简化的产物）,2025-06-11 10:05:30,1,2,,山东,是,http://i1.hdslb.com/bfs/face/d23582808962323ccff0e1dfd6334f86a58275f2.jpg
15,265305224496,265305312704,1313101339,面点海,6,保密,[抱拳][妙啊],2025-06-11 10:05:58,0,0,"你好。我在做哈基米和音乐分享。
哈基米有灵感时开新坑，没灵感补完旧作品。
音乐分享则是上传b站没有或不全而我比较认可的专辑。
",辽宁,否,https://i1.hdslb.com/bfs/face/87ad25cc08b988f42e479be73c44760cab1812ef.jpg
16,0,265303377584,272680832,单九玄,6,女,"up给我带来了一个新认知
给五字以神人，而非给神人以五字",2025-06-11 09:42:52,0,1,急了,安徽,否,https://i2.hdslb.com/bfs/face/6c1bcee4bfbd78647a69d9a8037d89fe7ab11fec.jpg
17,0,265274731376,273248078,林林的兔子哥,5,女,不行了,2025-06-11 03:16:18,0,1,,吉林,否,https://i2.hdslb.com/bfs/face/631877edc60e9dfc04953ec277c2431370f13a16.jpg
18,0,264217948561,1330304473,木夭于,4,保密,@建校以来第一才女 [星星眼],2025-06-10 23:59:10,1,1,桃木夭夭，之子于归,安徽,否,https://i1.hdslb.com/bfs/face/072b35c6ae9c55ff0e399d30bd722fc7a50bbe1a.jpg
19,264217948561,264247366849,454449896,建校以来第一才女,5,保密,[FGO_耶][FGO_耶],2025-06-11 07:21:10,0,0,点击此处输入文本,安徽,否,https://i2.hdslb.com/bfs/face/521a17d21abe8c8e91a96c4e73e8e6b8247292e8.jpg
20,0,265262101776,1266536737,Otto棍母otto,5,保密,注已关,2025-06-10 23:33:08,0,1,棍木,黑龙江,否,https://i1.hdslb.com/bfs/face/a447cb2b9187b98e2bd122e4c7d2c010113d2617.jpg
21,0,265251381616,498342207,某个哈皮在此,6,男,@SKWORLD,2025-06-10 16:58:16,0,3,君子慎独，不欺暗室，卑以自牧，含章可贞,广东,否,https://i0.hdslb.com/bfs/face/358fcfd7774344f87e859b5c8705137fab124cdd.webp
22,0,265239395904,2023741034,大笑的眼睛,5,保密,up的当务之急是改成五字ID,2025-06-10 14:35:18,0,1,,吉林,否,https://i2.hdslb.com/bfs/face/b952d55dd07785b563e98d4e751954fd3cbc065b.jpg
23,0,264162821425,1816467085,T_T新年限定版,3,保密,都说网络有利有弊，我现在利了弊在哪里？,2025-06-10 08:10:55,0,1,,山东,否,https://i1.hdslb.com/bfs/face/e1e326eb94f58f9c8c94167d9d3a52797a823fb1.jpg
24,0,264156131873,647560092,快乐的冰嬷111,5,女,面占灬氵每也是五字神人[呲牙],2025-06-10 06:21:58,0,1,喵,江苏,是,https://i0.hdslb.com/bfs/face/56c3e7cc257a6e306c31474370397da98e02f5ce.jpg
25,0,265198237760,3494360391878832,倒吸一口冷气-,5,男,@老飞宇66,2025-06-10 06:00:15,0,1,,山西,否,https://i0.hdslb.com/bfs/face/5a73cc78f8f1fa2a21c0ca9813e96227c5121ed4.webp
26,0,264143138769,3493108857703070,纯真6年华,5,男,@老飞宇66,2025-06-10 03:35:33,0,1,,甘肃,否,https://i2.hdslb.com/bfs/face/6a3dbcf7b3228139a778e73a87a7970c256dffac.jpg
27,0,264111630977,526106865,伊奈伊塔库米哒,5,保密,这没做完溜得不够爽,2025-06-09 15:13:50,0,1,,广东,否,https://i0.hdslb.com/bfs/face/c6701733c9dc0c753c9e16c674e7b69c57f42332.jpg
28,0,265149534624,513678003,游碳栖泊,5,男,@夏某匀 @栩_muyu @时崎世末 @灭了那个神话,2025-06-09 14:30:47,2,1,これほどだけですか,湖北,是,https://i0.hdslb.com/bfs/face/8248fc7c446aa94eaf9f879b258cf1efea4041ab.jpg
29,265149534624,264142627057,625377171,时崎世末,5,保密,你就是闲的，天天搬史给我[不思议之旅_疑问],2025-06-10 03:29:19,0,0,,湖北,否,https://i0.hdslb.com/bfs/face/868e8e96c10ccf253cabfb8bec8f92f579072a30.jpg
30,264142627057,265185803696,513678003,游碳栖泊,5,男,回复 @时崎世末 :（￣▽￣）,2025-06-10 03:31:10,0,0,これほどだけですか,湖北,是,https://i0.hdslb.com/bfs/face/8248fc7c446aa94eaf9f879b258cf1efea4041ab.jpg
31,0,265126439200,3546587192101646,king妃jack躍,2,保密,@爱哭的梦想家,2025-06-09 10:39:28,1,1,,陕西,否,https://i2.hdslb.com/bfs/face/9319155ac252dc1232f22bbb7329fcc7f5be8ef0.jpg
32,265126439200,264085404241,13341559,爱哭的梦想家,6,保密,（⌒▽⌒）,2025-06-09 10:45:34,0,0,,山东,否,http://i1.hdslb.com/bfs/face/26645b09902faf2c38a38cf1cfb7c28eca262448.jpg
33,0,264079118689,626161290,想变成佳代子的雨伞,5,保密,@雾谷兮[委屈][委屈],2025-06-09 09:37:52,1,2,,广西,否,https://i0.hdslb.com/bfs/face/80fae3b83b9bbe0c79ae4ba9474b44531a12b429.jpg
34,264079118689,264116968225,521481368,雾谷兮,5,保密,听哭了😫,2025-06-09 16:16:33,0,0,,广西,否,https://i2.hdslb.com/bfs/face/4b2b5df2d364f4563a644b26318ff99db3658d5f.jpg
35,0,264062162465,3546685980543194,蓝蓝蓝蓝mc,4,保密,"中奖名单
↓",2025-06-09 05:37:26,1,0,,山东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
36,264062162465,264062166449,3546685980543194,蓝蓝蓝蓝mc,4,保密,@Windke-11h,2025-06-09 05:37:34,0,0,,山东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
37,0,265102950432,637017330,星濡,5,女,[藏狐],2025-06-09 05:37:00,0,14,一位萌新,吉林,是,https://i0.hdslb.com/bfs/face/51acf08f70e39d579fbf6128e554c22f2a22df01.jpg
38,0,264053868177,635566051,初音のpuppy酱,6,女,歌词在哪里[星星眼],2025-06-09 04:07:15,0,1,,江苏,否,https://i1.hdslb.com/bfs/face/da5028e7471d7a24057daa9ad88ba195f3896b0d.jpg
39,0,265069808960,275560625,0张三封0,6,保密,有一种看见了17年鬼畜区走马灯的感觉，太美好了,2025-06-08 18:04:18,0,1,,河南,是,https://i2.hdslb.com/bfs/face/cee9e839b7dbc08c683c5434e8c50c7ecaf524c5.jpg
40,0,264027919937,2048913896,白夜不超模,5,保密,@AnnyyBongy @Hannibal的菜刀 @觅安觅安觅 @老鲤鱼爱颠勺,2025-06-08 17:22:32,1,2,灵感菇里菇里菇里刮擦灵感菇灵感菇,山东,是,https://i2.hdslb.com/bfs/face/b945d58ff6fd9e97ef04d94d9d9de874af02baf8.jpg
41,264027919937,264048368993,1630315272,觅安觅安觅,6,保密,那很伤感了,2025-06-09 02:59:32,0,0,丈夫在世当有为，为民播下太平春。,山东,是,https://i0.hdslb.com/bfs/face/edddb0a4c609d3ac90716d8f475da05beeff3093.jpg
42,0,265051336880,1023103925,离道难得硕,4,保密,🥰🥰🥰,2025-06-08 14:07:52,0,1,,山西,否,https://i2.hdslb.com/bfs/face/105b703602a8814baff075260bcbb449f1a47f77.jpg
43,0,263993593329,524288486,憨憨_世一吕,4,男,@星澜薄暮晨光,2025-06-08 10:53:08,0,1,铁憨憨,四川,否,https://i2.hdslb.com/bfs/face/739782c5e0217ada6ebb46a5537a3f58f95608ac.jpg
44,0,263974581361,41851364,丰川祥子゛,6,女,豪庭,2025-06-08 06:56:55,0,1,ⓘ该账号封禁中,广东,否,https://i2.hdslb.com/bfs/face/7366fd305f3000816f41e29855065356d3236730.jpg
45,0,264989007440,230413647,Ben就是笨笨,6,保密,id字数不对,2025-06-08 02:19:33,0,1,＜(´⌯ ̫⌯`)＞,浙江,是,https://i0.hdslb.com/bfs/face/a71320694ca1b4539a4448d051453cec4bbcb84c.jpg
46,0,263948057873,382034086,神秘点缀-热乎版,6,保密,@DOLLARS登录 @薇bot @屑vv @青空无意 @有頂天de桃 @21alter @天天都要鹿 @别二不二 @好果汁牌打火机 @珟瑕,2025-06-08 01:37:54,1,2,励志在每个刷到的芙莉莲视频里点赞投币加收藏,黑龙江,是,https://i1.hdslb.com/bfs/face/41d853a09397d5ee0e4a14ce4d118c090891edf4.jpg
47,263948057873,263964125905,609757876,青空无意,6,男,[汤圆],2025-06-08 04:46:49,0,0,感觉没有好价模型玩）,广东,否,https://i1.hdslb.com/bfs/face/c4ec4857171b5833648d9f170994e338b5ab0ebe.jpg
48,0,263937964353,399699557,幻想乡勇夜抄,5,保密,闭嘴曼波，我再也不想看哈基米了，我只是想快乐😭,2025-06-07 19:58:58,0,1,你点进来想看什么？,河北,否,https://i2.hdslb.com/bfs/face/5181607d2e4334c5668d69a4444730ac44c87707.jpg
49,0,263933271937,1820967955,东方涛云,5,保密,@与丽莎世世好 @bili_26410257002 @吕姒,2025-06-07 17:38:22,0,1,,湖南,否,https://i1.hdslb.com/bfs/face/522adc720be3c2dc7052c159a725b3e1206f578e.jpg
50,0,263915219953,1091301655,pro哥放过薯薯吧,5,保密,@莉可好可爱呀 蕾姆了🥹,2025-06-07 13:54:36,0,1,可恶的八八式等着被爸爸的大卡利欧波塞满吧（怒,江西,否,https://i1.hdslb.com/bfs/face/819ee65a4a755b080d740e54a5346589c4279cb9.jpg
51,0,264901222608,2018705535,阳生月中,5,保密,上一个这么干的，还是几年前的坤哥，有人还整出来好几百首,2025-06-07 04:13:27,0,2,,山东,否,https://i0.hdslb.com/bfs/face/1d0a5c1e488b4c6ff06f726d01e2d9dc4195de9d.jpg
52,0,264897412784,691127133,锁猥の大爷,4,女,@零玖_winter,2025-06-07 03:33:30,0,1,,四川,否,https://i0.hdslb.com/bfs/face/01618fdf08a4e56835599b2c0d1d0539a8897ff9.jpg
53,0,263850136225,1080505858,什么鬼s名字,4,男,@馊了的葡萄 哭死我了😭😭😭,2025-06-07 00:55:45,0,1,,湖北,否,https://i1.hdslb.com/bfs/face/a3be0504422392d751796b25a60eead3242a3b5e.jpg
54,0,264877682448,435455005,蓝嘲,4,男,@影依的圣女艾克莉西娅,2025-06-06 20:39:17,0,1,,湖北,是,https://i1.hdslb.com/bfs/face/d6f9554b5b36afa6096006edfd93dd118af769e1.jpg
55,0,264874758592,1759762331,茶品梅花雪,5,男,没一句是诗歌剧唱的，贴的却曼波头像[doge],2025-06-06 18:35:34,1,1,一世太短，半生太长。,上海,否,https://i2.hdslb.com/bfs/face/ef392ae313242d06bc8dde8cc13d6057ea65738a.jpg
56,264874758592,264874813744,1313101339,面点海,6,保密,把帝皇整上去不太和谐[笑哭],2025-06-06 18:39:08,0,0,"你好。我在做哈基米和音乐分享。
哈基米有灵感时开新坑，没灵感补完旧作品。
音乐分享则是上传b站没有或不全而我比较认可的专辑。
",辽宁,否,https://i1.hdslb.com/bfs/face/87ad25cc08b988f42e479be73c44760cab1812ef.jpg
