序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,265212624544,394100325,卷毛歪,6,男,完了 这下真搞艺术了,2025-06-10 09:40:35,0,3,"数字媒体 / 交互设计 /虚拟现实/
分享作品，偶尔鬼畜",北京,否,https://i0.hdslb.com/bfs/face/1f0ca1da4d297bed74391ae5a9c7703881141b8b.jpg
2,0,263637431585,498299350,我王小美美,5,男,求歌词,2025-06-04 13:02:16,0,0,"我是超级无敌至尊魔神闪光裂空火影大王
",河南,否,https://i1.hdslb.com/bfs/face/94001e39d677a039e2115f08d6aa6d256161b20f.jpg
3,0,264358970288,39836341,FROMED123,6,男,感谢哈基米吧，古典乐很多人平常不会涉足，现在也有了愿意接触的机会😂也感谢你们功力这么强，调的这么好,2025-06-01 06:42:28,0,88,匆匆,浙江,否,https://i1.hdslb.com/bfs/face/72831497dc7ccadb1a47031167499cf51cdbee24.jpg
4,0,263242703825,1652086652,歌德_official,5,男,不知道，总之雅[良辰共此曲动态表情包_鼓掌],2025-05-31 06:53:21,0,8,"真正的男人，只有在一切结束的时候才会流泪
不是我根本不能语c好吗一开口就ooc了",广东,否,https://i2.hdslb.com/bfs/face/ac2da44af233d02268d8a20150af8e0a06d69dec.jpg
5,0,264180013776,1754431,魔仙堡丑丑怪,6,保密,我擦也太强了，能做一辈子的哈基米音乐吗[颂乐人偶_眯眼笑],2025-05-30 10:24:09,0,3,已无幻想，斗争到底,广东,是,https://i1.hdslb.com/bfs/face/257da181e0fec2812eeb0d9b46217c8715ee0eba.jpg
6,0,264169137408,9876631,铱铂金汞铊,6,保密,这个视频逆天程度已经超越了任何语言文字的表达界限，但是语言文字又是人类的思考边界，那又该如何描述人类观看这个视频的感受呢？我想，既然其情感的强烈程度和所能承受的载体已经超越了人类和人类的语言，那就只能类比为“三体人直接用脑电波向一大群三体人分享嗑药嗑嗨了的感受” ，这也正应证了外星人👽👽爷爷的那句话: 像家一样的熟悉感觉。,2025-05-30 08:12:01,0,7,,江苏,否,http://i1.hdslb.com/bfs/face/0965c79ac0498c4c8486ad9ed33203a234c6733d.jpg
7,0,263096810881,2288166,BeaTrice_X_,6,保密,我嘞个长难句,2025-05-29 13:51:02,0,0,艾琳娜，萌月，樱，洛小夕/珍妮/南溪/洛伊/江小婉/顾小雨，菜菜子/琉璃/西风/莲/小里森/渡晴，猫5，墨白,上海,是,https://i0.hdslb.com/bfs/face/fe3b9663a54499f26162182e83c76b1858609753.jpg
8,0,264047117280,34392524,Phrygian,6,保密,"歌词大意：
叮 叮 叮 叮  叮 叮 叮 叮
哈基哈基哈米哈米哈米哈米哈基哈基
哈基哈基哈米哈米哈米哈米哈基哈基
哈基哈基哈米哈米 基 哈哈哈哈哈哈 哈哈哈哈
哈基哈基哈基哈基 米 米米米米米米 米米米米
哈米哈米哈米哈米 基 基基基基基基 基基基基
阿西阿西阿西阿西 嘎 嘎嘎嘎嘎嘎嘎 嘎嘎嘎嘎
哈基哈基哈基哈基 米——哈米哈基米摸那咩噜多阿西嘎哈呀库那噜哈米基摸噜多那咩阿西哈呀库~~
哈米基哈基米摸哈基米摸那咩噜多那咩噜多那咩噜多那咩噜多阿西嘎哈呀库那噜阿西嘎哈呀库那噜~~
哈基米曼波曼波曼波曼波欧马吉利欧马吉利欧马吉利ざぶざぶゆらゆらざぶざぶゆらゆら曼~~
叮咚叮鸡一段一段一段一段带兴奋剂带兴奋剂带兴奋剂带兴奋剂楼上的下来搞核算大狗锵锵一段一段
叮咚叮鸡大狗锵锵带兴奋剂一段一段叮咚叮鸡大狗锵锵带兴奋剂一段一段楼上的下来搞核算出示出示健健康码叮叮叮叮/叮叮叮叮/叮叮叮叮/叮叮叮叮咚——
胖胖宝宝好胖可爱小白手套哎呦喂喂核核核核/核核核核/核核核核/核核核核 算——
胖胖宝宝好胖可爱小白手套哎呦喂喂核核核核/核核核核/核核核核/核核核核 算——
胖胖宝宝好胖可爱小白手套哎呦喂喂核核核核/核核核核/核核核核/核核核核 算——
哈基米摸那咩噜多阿西嘎哈呀库那噜哈哈哈哈/哈哈哈哈/哈哈哈哈/哈哈哈哈基基基基/基基基基/基基基基/基基基基米——",2025-05-28 21:06:18,1,6,,吉林,否,https://i2.hdslb.com/bfs/face/3bcb55dd30ce5ab72138b2c4c92529e6a9038a70.jpg
9,264047117280,265650897408,699823522,银线鳕,5,保密,他说谢谢,2025-06-15 02:13:13,0,0,Belli dura despicio！,山东,否,https://i1.hdslb.com/bfs/face/3789ff0000b718942be8d33f708c763c7299e27b.jpg
10,0,263947356512,430546247,突破Pika5E_,6,男,@允乐同学 @阿Gen想摸鱼,2025-05-27 15:16:29,0,0,时不时凌晨直播游戏的主播一枚！,广东,是,https://i2.hdslb.com/bfs/face/3d6fe7a140921c3b80b5d4ebb0b564a78cb81437.jpg
