序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,265677324544,173328628,浅水墨鱼,6,男,溜,2025-06-15 06:56:53,0,0,潜水摸鱼,天津,否,https://i1.hdslb.com/bfs/face/fda82b15fc7efe17010224cc118bc003084ba2a7.jpg
2,0,264621638481,35701051,神采飞机,6,男,给我点赞,2025-06-15 06:17:15,0,0,这个人很懒，没有编辑签名。,上海,否,https://i1.hdslb.com/bfs/face/281f3fca1380cdfb2fe95d30d5d4fcd2b6e8cbc7.jpg
3,0,264592214529,443011058,一朵拉瓦锡,6,保密,神作！,2025-06-15 00:28:57,0,2,,湖北,是,https://i2.hdslb.com/bfs/face/d72d6f27ee1d175e680fd2f13c61c73358f4c5cf.webp
4,0,264589176177,471438079,淑芬的芳,6,女,这下知道古典乐牛逼在哪了,2025-06-14 23:13:49,0,1,人穷则反本,河北,否,https://i1.hdslb.com/bfs/face/5a5bf72693e2b028929545308f5ea3be72813d6c.jpg
5,0,265638719568,272003127,Misaka625,5,保密,词呢，没词我唱什么[脱单doge],2025-06-14 21:57:24,0,1,甘道夫,陕西,否,https://i0.hdslb.com/bfs/face/b6336c3cd2b4e3345113f0a4b8066bfb6b6a22b5.jpg
6,0,264584467585,230465674,风见觋,5,保密,@反之冢湜鲥,2025-06-14 19:24:40,0,0,,广西,否,https://i1.hdslb.com/bfs/face/1ff24db6257452ad9dfc8b2ccdde8066ff444ce7.jpg
7,0,265631274528,1158503002,大秀和二秀,6,保密,六千多个你每个都点赞吗？[笑哭],2025-06-14 17:36:26,0,1,,天津,否,https://i1.hdslb.com/bfs/face/b98ab7e75f6dfa08d2ede0d15b8d0f564e7430c3.jpg
8,0,265625832384,345815406,被梦遗弃的梦遗少年,5,男,听了蛮多古典基米了，这个真的是难以逾越的大山了，听感最好的一个[点赞],2025-06-14 16:19:32,0,3,凉白开真解渴,广西,否,https://i0.hdslb.com/bfs/face/8a8399362bf2d921726bf5f0a28ecf384dcd0c12.jpg
9,0,265618785520,1259763127,椰汁真好喝e,5,保密,神作[良辰共此曲·动态表情包_谢谢大家],2025-06-14 15:03:53,0,2,人机一枚，放一点和朋友打游戏的日常0.0,江西,否,https://i1.hdslb.com/bfs/face/7b23b6244c7bd1924e69d7db84eca9d7e85bb479.jpg
10,0,264563539153,49279352,Pop不拜天,6,男,我的天哪！简直神作啊！[哦呼],2025-06-14 14:20:21,0,1,人生人山人海缘聚缘散，自己自尊自爱自由自在。,浙江,是,https://i2.hdslb.com/bfs/face/58b9c61b14f7b635512216db0756e11bad9ced68.jpg
11,0,265611555856,379004421,好大一只达不溜,5,保密,@东风dfffff [难过],2025-06-14 13:55:23,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/461b2d3c6eb4b791eeb08575d78f7df0fd9c052e.jpg
12,0,264550863713,29757650,Wangstu,6,男,@MistoffeleesKG,2025-06-14 12:15:49,0,0,"王司徒，也可以叫我Equinox
脱脂实属不易",上海,否,https://i2.hdslb.com/bfs/face/ce275fb35448f1e03a65b5a1dc19ecadbcabd255.jpg
13,0,264531289985,564517676,寒梅嗷雪O新,6,男,不要啊，我的神曲,2025-06-14 08:45:22,0,1,！成分复杂,北京,是,https://i2.hdslb.com/bfs/face/b919c87407b2f43ad831d6e567134d8352000479.jpg
14,0,265574229952,8535631,嗷____嗷呜,6,保密,爽，太爽！,2025-06-14 07:14:25,0,1,,广西,是,https://i1.hdslb.com/bfs/face/b0cf50f5ae5587a930fb8a753b91911de2d0b59c.jpg
15,0,264522616241,391631893,爷傲奈我何ouo,6,保密,神曲神人up[嘟嘟],2025-06-14 06:51:36,0,1,,江苏,否,https://i1.hdslb.com/bfs/face/fe37c10ca9f40eeddf7518bc17af599076b9ba66.jpg
16,0,265568989184,1703080939,peintret,5,保密,@Atinof红茶 @亿点点累捏-芋头哇 😋,2025-06-14 06:08:45,1,1,我爱你，如维塔般清澈,福建,否,https://i1.hdslb.com/bfs/face/15c38e582699486a7d7b679af9ef2d1b945a1f6e.jpg
17,265568989184,264620739425,3493095494650578,亿点点累捏-芋头哇,5,女,🤔🤔🤔🤔,2025-06-15 06:05:30,0,0,累啦累啦,福建,否,https://i0.hdslb.com/bfs/face/6d7953c6cac65a5d1616c5b7c82ca324a4ed9197.jpg
18,0,265562679520,279584610,怜梦子,6,保密,没放过这曲的手机就只是一块砖,2025-06-14 05:00:58,0,2,"画上橡皮能擦去的争执，

画下永远不会流泪的眼睛。",福建,否,https://i0.hdslb.com/bfs/face/fe85727240d26262f20808ec659f7313e0de9212.jpg
19,0,265561985808,301199032,利维嘉,5,保密,请来了[来古-注意],2025-06-14 04:54:51,0,2,我是他，或者是她，亦或者是祂,江西,是,https://i1.hdslb.com/bfs/face/996248c6a71296bd260a7f5f752b80d546b9177c.jpg
20,0,264498943425,353762572,花吃酱喵的椒,5,男,听这个还是会想起月光奏鸣曲杀人事件[doge],2025-06-14 02:30:29,1,2,,内蒙古,否,https://i1.hdslb.com/bfs/face/159f54c2fbbf9edd9f3bc00b81805b52e5b64ab0.jpg
21,264498943425,264576013969,393778352,玖琉千芙,6,男,可惜杀人事件只有一二乐章[千恋万花表情包_心碎][Ave Mujica_比叉叉],2025-06-14 16:33:11,0,1,同志，你好呀！,广西,否,https://i2.hdslb.com/bfs/face/556eacf2100d4925003279fb3b95c1521e79f145.jpg
22,0,265547025744,3494358422653215,-每逢佳节Bass亲,5,男,@西瓜西瓜脆又甜,2025-06-14 02:17:53,0,1,这个人很穷，什么也没有留下～,河南,是,https://i0.hdslb.com/bfs/face/4f8be31b6755aa893e87d0c9a7ef275110228a15.jpg
23,0,264478766001,170050,左手冰霜,6,保密,@尔东和小明最近很火的古典哈基米，期待做个Reaction之类的，专业人士如何评价这种以新形式演绎经典作品的新解构主义p1,2025-06-13 17:46:49,0,1,INTP,广东,是,https://i1.hdslb.com/bfs/face/f875cce21e16723f96dc4f58cebc32e5e328c7b7.jpg
24,0,265526438640,4336010,0xFFH,6,保密,第一个音的音色好acid,2025-06-13 17:32:04,0,1,//,广东,是,https://i2.hdslb.com/bfs/face/3500171676fd6165e23cd600f34b86815979aadb.jpg
25,0,264477860209,91319568,小医师喔,6,男,@一抖时尚裤衩 @袭明Shiamin,2025-06-13 17:30:20,0,0,,北京,是,https://i0.hdslb.com/bfs/face/17cb578fc90736d3745e06937064dea6b29be3b9.jpg
26,0,265523275776,551199247,气温比我鞋码大,5,保密,诶☝🏻🤓，四级考试的时候脑子里就循环这个,2025-06-13 16:45:49,2,11,！该账号封禁中,江西,是,https://i1.hdslb.com/bfs/face/35608e590c676fa0bc8b8a4166e9264b14c50a05.jpg
27,265523275776,264479328273,1339691884,市民鸵先生,4,保密,别搞[夜奏未终动态表情包_淋湿了],2025-06-13 18:00:20,0,2,,吉林,是,https://i1.hdslb.com/bfs/face/3122a626dab4ba5601bddcf3611972b23663c8e6.jpg
28,265523275776,265532050640,286931401,小南极熊030,6,保密,tmd明天四级不听听力听这个是吧,2025-06-13 20:09:04,0,3,"我懒死了，什么也没有写
",湖南,是,http://i1.hdslb.com/bfs/face/929b6fa2df4d1f039c155dddb618c348574ff0f0.jpg
29,0,265521018592,86682523,星域深空,6,保密,复习的时候听这个   一上考场脑子里全是哈基米[doge],2025-06-13 16:18:31,0,2,破事水,江苏,否,https://i1.hdslb.com/bfs/face/923d7a6545ddf6e8c93ef7433f7dbe218d04eb3f.jpg
30,0,265508782352,1117139448,奕雨oo,4,男,豪庭,2025-06-13 14:21:10,0,1,明天一定要早起,湖北,否,https://i0.hdslb.com/bfs/face/df104f2e2537fd0af898e78399f48480eab7e4c1.jpg
31,0,265507068480,3494366601546601,星落宇a,5,保密,纯纯的冰啊我看,2025-06-13 14:05:18,0,1,hi,湖北,否,https://i1.hdslb.com/bfs/face/b22ee0173c2eeda3c80b84cc0fda783315bd0da5.jpg
32,0,264459058513,1676061270,我好捌捌,5,保密,@小小栎_ 不是。我原曲呢。,2025-06-13 14:04:41,1,0,…,广东,否,https://i0.hdslb.com/bfs/face/1905cb430995e973ea7eecd8aacd49d516201415.jpg
33,264459058513,265507617120,3493105886038748,小小栎_,3,男,哈基米。,2025-06-13 14:09:41,0,1,虽偶有轻风细雨 但总归晴天朗照,广东,否,https://i2.hdslb.com/bfs/face/327f2f46b8afea40b8c485121a8a407ac0b1485f.jpg
34,0,265506779776,502659548,吴迪青水大王,5,保密,@Roooh_ @为什么看番要会员 @爱玩游戏的阿词,2025-06-13 14:03:09,1,1,,浙江,否,https://i2.hdslb.com/bfs/face/c9f6ce4bc5969cc7300063077a48c15648b9c831.jpg
35,265506779776,264550247057,1664924353,Roooh_,5,男,很有品味了,2025-06-14 12:07:43,0,0,天天开心，永远不死,浙江,否,https://i1.hdslb.com/bfs/face/9b3b70635565b98b7983659c708c66930fae9df0.jpg
36,0,264450257969,471006954,乔克叔叔童年的时光机,6,女,好想听一天,2025-06-13 12:41:47,0,1,冲刺！,山西,否,https://i0.hdslb.com/bfs/face/5ce32286b14ec7b77ac9c8852c2a3fd6aeb4df42.jpg
37,0,265492253840,1145533041,天灾之临,5,保密,up有兴趣搞个全的吗，我当催眠曲听[星星眼],2025-06-13 11:43:52,2,9,雄关漫道真如铁，而今迈步从头越,辽宁,否,https://i0.hdslb.com/bfs/face/4a686c2ed0e173f1c2af68adcc78a00a9cb0afe1.jpg
38,265492253840,265492597168,1750809431,自由鸟555,5,保密,你也是个人物[打call],2025-06-13 11:47:15,0,1,,安徽,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
39,265492253840,264460144993,431679787,小豪同学爱瞎掰,6,男,你还想醒过来吗,2025-06-13 14:15:30,0,1,咕咕咕,浙江,是,https://i1.hdslb.com/bfs/face/8c072179fd16a466226a8b26ba3f582fd0ce82e0.jpg
40,0,265486612576,1060234015,Aquanderaang_,5,保密,作者真的每条评论都点赞啊[可爱小黄豆_亲亲],2025-06-13 10:49:44,0,2,这人很神秘，什么都没有写。,山东,否,https://i1.hdslb.com/bfs/face/bc611083fcc0a68d6e3620d396ebe087b2e7576d.jpg
41,0,264434876529,446107889,蝶梦游兮云梦,4,男,哈气了[Mygo表情包_让我看看],2025-06-13 10:07:00,0,1,蝶游大梦，与庄孰吾？既言醒悟，又或新游？,河北,是,https://i2.hdslb.com/bfs/face/05c0b6c1fec443150a9f25b69ee46023f9e87c82.jpg
42,0,265461626048,355773346,我是石頭鴨,6,保密,古典派的神人[星星眼][星星眼][星星眼],2025-06-13 05:41:38,0,2,?_?,中国台湾,否,https://i1.hdslb.com/bfs/face/61822f8efe4cb217b4c57f6a32d5f71270065831.jpg
