序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,264455348321,420427172,-拥格者-,5,男,[坂本_佛系],2025-06-13 13:32:06,0,0,假作真时真亦假，无为有处有还无,广东,否,https://i2.hdslb.com/bfs/face/67cb84ef9fae2bd41d62281c32bd454897176606.jpg
2,0,265450436784,31472936,麦乐送蛋挞,6,保密,最喜欢的一集,2025-06-13 03:40:17,0,0,吃一个蛋挞？,浙江,否,https://i2.hdslb.com/bfs/face/e7aee4c8f41fabf349c47c109e3a358617d95971.jpg
3,0,265422755296,511960038,-黎暗昏明-,5,男,终于对我最喜欢的音乐下手了吗[笑哭][笑哭][笑哭],2025-06-12 16:29:32,0,0,,四川,是,https://i0.hdslb.com/bfs/face/d242d40579eb17ba9a9a06cb041a6fcb5af33e71.jpg
4,0,265413391664,97026712,雨清庭,6,男,@道道子和理理美,2025-06-12 14:36:09,0,0,没有签名,广东,否,https://i1.hdslb.com/bfs/face/038b7e5ab4f95b03eedea411e1c65204375b6673.jpg
5,0,265320661328,646016745,huaaalala,5,男,@KafuuSagiri @Ir1on @艾姆妮西亚_Official @白神吃什么 1：46神作[Serena猫色橘华动态表情_星星眼],2025-06-11 12:50:55,1,0,debu,江苏,否,https://i0.hdslb.com/bfs/face/a6880ebc24b02e5fd48fc8bbe4d5ed4a0b26f8d0.jpg
6,265320661328,265321198560,396333104,艾姆妮西亚_Official,5,保密,神作,2025-06-11 12:57:55,0,0,日落即逝,内蒙古,否,https://i2.hdslb.com/bfs/face/7042db863456afb248089da9b9384fbca2cefa87.jpg
7,0,264257231569,517795092,后街女孩御坂美琴,6,女,"又来溜了
还是听着这个复习效率高",2025-06-11 09:45:23,0,0,友利舞酔unofficial,北京,否,https://i0.hdslb.com/bfs/face/1f8f223104734aea10556e292f73faee9983a533.jpg
8,0,265294143280,367472731,Chord___,6,男,感觉是哈基米音乐上的一座高山了，可惜播放量不是很高，就是感觉猴哥还是加的略有突兀。,2025-06-11 07:34:20,0,2,个性签名,山东,是,https://i1.hdslb.com/bfs/face/debb61a6a2f6c122800df9e1db40970f27234810.jpg
9,0,264234090833,302388654,负荷领域既视感,6,男,听哈识基米,2025-06-11 04:17:10,0,0,,广东,否,https://i0.hdslb.com/bfs/face/e018af9beed73e7ffb0954196f84d576f923d5fe.jpg
10,0,265249506368,101299204,山里人日丹,6,男,@凘苐菈琺倻詻 @带带斯派达尔 @Vincere_ @YakoNijika @蓬莱山妹紅 @我要喝MUSASHI @Chiloast @Sky_Loong @locksen1145 @于的记忆是关于她 [笑哭],2025-06-10 16:31:10,3,0,原来，你也玩战雷,广东,否,https://i1.hdslb.com/bfs/face/7ecdfa21e8184d5c9bb69fa33aac2ad0626100fc.jpg
11,265249506368,265263622032,514975905,locksen1145,5,男,你终于分享一个有质量的哈基米音乐了,2025-06-11 00:12:51,0,0,新年好啊,广东,否,https://i0.hdslb.com/bfs/face/fb60d103127a3565576fa2cdb777b64911f3b3d1.jpg
12,265263622032,265263765520,101299204,山里人日丹,6,男,回复 @locksen1145 :我之前不是在群里发了个哈四基,2025-06-11 00:14:18,0,0,原来，你也玩战雷,广东,否,https://i1.hdslb.com/bfs/face/7ecdfa21e8184d5c9bb69fa33aac2ad0626100fc.jpg
13,265263765520,265263669792,514975905,locksen1145,5,男,回复 @山里人日丹 :要我没听过才算,2025-06-11 00:15:17,0,0,新年好啊,广东,否,https://i0.hdslb.com/bfs/face/fb60d103127a3565576fa2cdb777b64911f3b3d1.jpg
