序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,265631211872,3546394298157727,拖更的琉璃,4,保密,"哈气哈基米
喔哈呀库那咩咯
曼波叮咚鸡",2025-06-14 17:33:32,0,1,tk,广西,否,https://i1.hdslb.com/bfs/face/0a8bbcc278ff1f345cd717092aae341793e40da9.jpg
2,0,264575676961,185439396,长期素食只会营养均衡,6,保密,真正想叮咚的大狗叫叫是不会合算的,2025-06-14 16:30:32,0,1,,宁夏,否,https://i0.hdslb.com/bfs/face/af6d006a501801fbd46b92218b58e79b2bca3358.jpg
3,0,265590467104,3461582606567708,特別傻,5,保密,[Mygo表情包_探头],2025-06-14 10:25:55,0,1,我不是dd,河北,是,https://i2.hdslb.com/bfs/face/35bcb956496fcbb425941626729ed0d057b3def2.jpg
4,0,265571917216,38629109,小俞头,6,女,哈基仙人の小曲,2025-06-14 06:45:32,0,4,啊嘞,河北,否,https://i2.hdslb.com/bfs/face/468eb0891ab7b5defd38f0a812e073c120aff28d.jpg
5,0,264511933409,513019075,超-模,5,保密,@A哈基仙人,2025-06-14 04:49:18,0,1,"太阳照常升起
",河北,是,https://i1.hdslb.com/bfs/face/947dc5f61903cc7b0438ef36fd559b2e5731af09.jpg
6,0,264508543761,147831571,ASD_Down,6,男,华儿用了你的bgm 不知道授权没有,2025-06-14 04:17:44,0,2,你好像一只鸵鸟,浙江,否,https://i1.hdslb.com/bfs/face/5b2a3f67cd59056d0ece59ad50c1cfc46a0f1377.jpg
7,0,265547648720,24634435,Oyasumibro,6,保密,给劲,2025-06-14 02:24:01,0,1,加纳,广东,是,https://i1.hdslb.com/bfs/face/b4293361dfd062b1cbc12ef3f5c8ac7095fa1cb3.jpg
8,0,264477871809,3546825820735676,188668885,3,保密,你的bgm被@一根华仔 用了，我想问一下他有没有你的授权？,2025-06-13 17:30:52,0,1,喜欢骂完拉黑的，恭喜你们，我也学会了这招，以牙还牙。而且我随时可以注销账号再重新注册，不会以为拉黑我就不能骂你了吧？,湖北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
9,0,264437117601,93677484,bamboo-jeweler,6,保密,@嘟瑟,2025-06-13 10:29:34,0,1,朝闻道,广东,否,https://i0.hdslb.com/bfs/face/2a77dd531d188348bb23346cec3f1748de0a0929.jpg
10,0,264412972273,285367666,猪八戒的二叔,6,保密,奸臣已经自己跳出来了！曼波算一个！还有哈基米！,2025-06-13 05:17:50,0,8,,北京,否,https://i1.hdslb.com/bfs/face/86bd976d6c76fa881e558398157e87f731018f81.jpg
11,0,264403398385,108105651,普市蛋挞,6,男,美声电棍,2025-06-13 03:33:00,0,3,"上热评是不可能的
一个爱玩P社游戏和音乐的肥宅，不定时分享音乐",江苏,是,https://i0.hdslb.com/bfs/face/7b364cfd09b30c6438919b001a20a1f32661d2a0.jpg
12,0,265377244128,32329647,T0HS4kaR1n,6,保密,哈基仙人来了,2025-06-12 05:34:27,0,2,你看我像不像√疤二次元？,重庆,否,https://i0.hdslb.com/bfs/face/104a5b2cb709405f6faee3c7d5abc66187acd1a9.jpg
13,0,264318677537,5761259,赛博猫猫控,6,女,哈基宗,2025-06-12 03:32:52,0,3,新东方,广东,是,https://i2.hdslb.com/bfs/face/122f9f78d4cd256a9708a173bc5c76aa2385afe1.jpg
14,0,265349956608,36229846,千禧年1942,6,保密,"cook：“梦兄，你的枪，，，钝了”
梦泪：“王不见王！下次再见，必决生死！”
cook：“哼”阿妈忒拉丝！”",2025-06-11 21:02:14,0,4,谜,新疆,是,https://i1.hdslb.com/bfs/face/b901a1a9e20d3ab000cb0d2fd8a10985c4027c1d.jpg
15,0,265343511504,10111332,honglinklbb,6,保密,豪庭，传位胤激,2025-06-11 17:11:39,0,4,,北京,是,http://i0.hdslb.com/bfs/face/420c207ac65a484a4b05b97ea9d8009021abc1cd.jpg
16,0,265340098480,1822730720,Dysonfd,5,保密,@老飞宇66,2025-06-11 16:20:52,0,1,,辽宁,否,https://i2.hdslb.com/bfs/face/7f50ba2ae9e88d74d3c2858891a0ddfddee766de.jpg
17,0,264291565377,37926879,桃月心也厨,6,男,好听！吃！爽！,2025-06-11 16:03:01,0,2,星轨是天空的道路,日本,是,https://i0.hdslb.com/bfs/face/d831f61cbdecd7a0e6b173699a3c2c5ed515234a.jpg
18,0,265337972048,175936719,狸猫不沾腥,6,保密,云中哈,2025-06-11 15:55:09,0,4,一拳风雨息，四海无神明,湖北,否,https://i0.hdslb.com/bfs/face/fcf7b0337b19f7c58254eda68e351a4d6815c330.jpg
19,0,264284559185,181062171,香风智乃唯一老公,5,保密,上头,2025-06-11 14:45:06,0,2,かふうちの　大好きです,广东,否,https://i0.hdslb.com/bfs/face/dd522f56bfddc46728d22d20a4ff9843b858cfb1.jpg
