序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,265626352416,455764739,raindownquite,6,保密,👍👍,2025-06-14 16:24:34,0,0,,浙江,是,https://i2.hdslb.com/bfs/face/951ce1f0d21ca550d2e13a200add019cfeaa3602.jpg
2,0,264228996817,36420179,四隅琉璃,6,保密,@污乌贼 @日曜行人 @叨嘛叨嘛,2025-06-11 03:13:00,1,1,Ciallo～(∠・ω＜)⌒,江西,否,https://i2.hdslb.com/bfs/face/ef1b5297574dcdfa8aa0fe8222c6cfbcb835ac2f.jpg
3,264228996817,265307399024,18700729,污乌贼,6,女,听烂了,2025-06-11 10:29:01,0,0,,江西,是,https://i1.hdslb.com/bfs/face/2fd8b639d26ead85673e0421b0159cf080701bc2.jpg
4,0,265099599152,76563103,滫丶渱,6,男,@渴望变富的老许,2025-06-09 04:58:00,0,0,天下熙熙皆为利来，天下攘攘皆为利往ω,广东,是,https://i1.hdslb.com/bfs/face/b7af802409026c6534441eb5298434feed41fd1d.jpg
5,0,264021938785,509824299,御坂美琴的小黑猫,5,男,翻唱在这BV1ztT9zEE7w,2025-06-08 15:53:25,0,0,格里芬指挥官也是一名罗德岛的博士 45厨，是一个很多厨的初中生  喜欢hdm（还是音游人）,山东,否,https://i0.hdslb.com/bfs/face/428f76b355d680ac42f79d743df3c0f3839d46ba.jpg
6,0,264020647729,509824299,御坂美琴的小黑猫,5,男,"BV1yoT9zbEuB主播半夜翻唱的不好
等明天后天返场了这版",2025-06-08 15:39:01,0,0,格里芬指挥官也是一名罗德岛的博士 45厨，是一个很多厨的初中生  喜欢hdm（还是音游人）,山东,否,https://i0.hdslb.com/bfs/face/428f76b355d680ac42f79d743df3c0f3839d46ba.jpg
7,0,263956688849,2099529074,I某的新号,5,保密,哈牛魔那一段呢[思考],2025-06-08 03:28:07,0,0,,广东,否,https://i2.hdslb.com/bfs/face/e71d1fac886464e072c8e433b7cfb45fc69b60b1.jpg
8,0,264939710032,397772005,王rx555,6,男,01:59 这是谁呀？没见过,2025-06-07 11:41:48,0,0,这个人什么也没有写，但你不能说他懒哦。,重庆,否,https://i1.hdslb.com/bfs/face/6085ff1710a319d46d332dee7c6cf6172e8e452a.jpg
9,0,264893393744,285237226,鲤鱼倒立,6,保密,"铃声已传微信视频号，搜：片段微信铃声哈基米重度依赖✞HACHIMI OVERDOSE✞加长版，

来源bilibili电警喵",2025-06-07 02:45:15,0,0,ⓘ该账号封禁中,浙江,否,https://i1.hdslb.com/bfs/face/c3c429cdf33f2078f4f87ec4d8d4726f685ffcba.jpg
10,0,264652698160,65749522,米拉罗多维娅同志,6,女,@木子清秋kiyoaki 1:52 我嘞个人工泛音 这才是真正的音乐[眞白花音_哭哭][眞白花音_哭哭][眞白花音_哭哭],2025-06-04 10:26:21,0,2,坐标天津。俄罗斯/苏联音乐文献。哈利洛夫作品研究。合作请私信联系。,天津,是,https://i1.hdslb.com/bfs/face/f50ef6bdad307601541da2477a588942e8786695.jpg
11,0,263547381537,452295998,夜雪如尘,6,男,已加入哈基米超精选[热],2025-06-03 11:47:44,0,2,爱看萌宠区，也爱听哈基米,广东,是,https://i2.hdslb.com/bfs/face/10046c20c2fb23ebb67c695835e646c3c9a52fdb.jpg
