序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,264575553697,1981359,汏覀筗メメメ,5,保密,什么时候来个尸潮全员核算,2025-06-14 16:27:22,0,0,ZNZBFLZ,福建,否,https://i0.hdslb.com/bfs/face/07e699483d7923168949a4316b299c6965e88fe3.jpg
2,0,265622741904,88792722,川澈-,6,男,@八澄_YK,2025-06-14 15:43:18,1,0,略略略略略略,四川,是,https://i0.hdslb.com/bfs/face/4c2fe99cfe9b77f93018d716e9ba627f877bad90.jpg
3,265622741904,264582107073,316601190,八澄_YK,6,保密,神人[少女乐队的呐喊表情包_哈哈],2025-06-14 18:15:53,0,0,,四川,否,https://i0.hdslb.com/bfs/face/e1d95628fbe7a1339098897577b80dc318aaf9b8.webp
4,0,264569996177,244813958,夏-冥殇,6,女,@jumping哎 @摸头村普通村民,2025-06-14 15:26:07,0,0,,广东,否,https://i2.hdslb.com/bfs/face/eb58f347d560732b545cbee17557429fb9a43f9f.jpg
5,0,265620827408,548283232,taiziの,5,保密,@盲目只因龙,2025-06-14 15:23:43,0,1,,山东,否,https://i1.hdslb.com/bfs/face/0e0dd6a7c535d1c01bd8c002188786ef21a67df4.jpg
6,0,264568447537,94662687,新式魔厨的鱼料理天使,6,保密,@山海花月真我,2025-06-14 15:09:04,0,0,你好！迦勒底的master，我是梅莉，花之魔术师梅莉，请不要把我和梅林混为一谈，我可不像他那样,浙江,否,https://i0.hdslb.com/bfs/face/7465d129c0148b944d21e6151f1ae793f5d8ba68.jpg
7,0,265589416496,3493124594731317,蕾辛一生推,4,保密,@月巷绫 @PIiIcTo @悠の白云,2025-06-14 10:14:58,0,0,,山东,否,https://i0.hdslb.com/bfs/face/433909e346bcfad33ea3ba6f7c75af8bd4b2c144.jpg
8,0,265584900880,531502123,北京烤鸭mind,5,男,@MarkErwinth @二次元发烧友5 @exitium-龙殇 求生之路优质音效mod,2025-06-14 09:27:18,1,1,23年11月25日入坑，姑且算个小登,海南,是,https://i1.hdslb.com/bfs/face/fea126ba46a8177a95217685ad84ac498a794b6c.jpg
9,265584900880,264535222241,351434080,MarkErwinth,6,保密,不赖,2025-06-14 09:32:40,0,0,霞沁层峦别故塞 寒烟晚照沐骄鸦,四川,否,https://i1.hdslb.com/bfs/face/5b5bf2caf73128ed27c244f85f9a88fd053cb390.jpg
10,0,264523236337,1540740064,小孤独可爱哩,5,保密,@杂鱼杂鱼猫,2025-06-14 06:59:59,0,1,,四川,否,https://i1.hdslb.com/bfs/face/dd8665241d774f9a92484b956408431556bfce7e.jpg
