序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,264602491777,189874381,冰灵雪域,6,保密,@狰羽依 @之元君 @小聪仔abc,2025-06-15 02:53:11,0,1,,上海,是,https://i1.hdslb.com/bfs/face/5ff104f885dcb8beaaf6b4dfc086ee8baa98519a.jpg
2,0,265646081264,482838725,老曾他爸,6,男,巫毒帮还在发力,2025-06-15 01:06:45,0,0,痛快铁奥kono我嗲菠萝哒，一直没有改变！,四川,否,https://i2.hdslb.com/bfs/face/064875be51b93403d4e65e66fc6f337aaaa8d00d.jpg
3,0,264574417009,3494362300287791,神秘偷跑女,4,保密,上榜！[打call],2025-06-14 16:12:43,0,0,失去了所有的力气和手段,山东,否,https://i2.hdslb.com/bfs/face/1a3686a14415f04f3ea8b15d051913d672a9962a.jpg
4,0,265623045312,293790042,士多啤梨煎蛋,6,保密,感动70亿哈基米,2025-06-14 15:46:04,0,0,いつか蝶がとまるような　あまいあまいあまい人に,天津,否,https://i0.hdslb.com/bfs/face/1282299869b87ddeba05798444f026eee48a66ea.jpg
5,0,265620774960,6891500,-维常之华-,6,男,豪庭,2025-06-14 15:23:19,0,0,各路b友，查成分扣帽子改变不了已经发生的事实,湖南,否,https://i2.hdslb.com/bfs/face/361cda828d46bd609837a1ed66635cbbc63c42fd.jpg
6,0,264565060113,378946478,纸彼,6,男,@老曾他爸 豪庭,2025-06-14 14:35:37,1,1,,四川,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,264565060113,265645887616,482838725,老曾他爸,6,男,仙品小马,2025-06-15 01:05:23,0,0,痛快铁奥kono我嗲菠萝哒，一直没有改变！,四川,否,https://i2.hdslb.com/bfs/face/064875be51b93403d4e65e66fc6f337aaaa8d00d.jpg
8,0,265612097184,49336419,就你叫阿政啊,6,男,别搞啊[笑哭],2025-06-14 14:00:01,0,0,倒反天罡了说是。,江西,是,https://i0.hdslb.com/bfs/face/41d8e6a49c214154e9971f2c83e33bc4dd8b8575.jpg
9,0,264550326881,475721192,杞木--,3,保密,@还需要活性氧 @Hide_on-peanut @SunDAY7安某 @卿墨Cherish,2025-06-14 12:08:50,0,0,,江苏,否,https://i2.hdslb.com/bfs/face/8b87d54f1e6bebf86519d48ef52c53597ac8d5d8.jpg
10,0,265598028256,1318919131,Keenuum,5,保密,开头一般 后边渐入佳境,2025-06-14 11:41:04,0,0,,浙江,否,https://i1.hdslb.com/bfs/face/a3e157065ac2f70350e4be91229be028b520b76d.jpg
11,0,265597255312,1794810111,36987awdcfg,4,保密,大卫早上起来发现军用里脊被露西拿去卖了，独自上月球写出来的歌,2025-06-14 11:33:47,0,1,,安徽,否,https://i0.hdslb.com/bfs/face/8336dbddf496b1309bc3b9fd93551254662592d9.jpg
12,0,265595053072,1637079806,补水自由,4,男,玩电子合成音的真的给哈基米磕一个,2025-06-14 11:10:33,0,0,做梦中,四川,否,https://i2.hdslb.com/bfs/face/cfa12c8bd9bea26f5cf96dae056795fa350771fc.jpg
13,0,264518415889,107180574,人士为安,6,保密,豪庭😭😭,2025-06-14 05:58:20,0,1,,江苏,是,https://i0.hdslb.com/bfs/face/e2a4b82737d02bb101de4a708ace19b9a50ab445.jpg
14,0,264513988673,62944768,我不知道我只想喝可乐,6,男,up有背景那个钢琴版的音乐来源吗，很好听的版本[喜欢],2025-06-14 05:10:43,0,0,,广西,否,https://i1.hdslb.com/bfs/face/95812d8580698241a6dc00f456c7db4c5d5a8b5f.jpg
15,0,264512860225,3546625364461652,暴躁的棍母,4,保密,原来亚当是猫反七呀,2025-06-14 04:59:44,0,0,,山东,否,https://i2.hdslb.com/bfs/face/2f1f098b4f0e26d88e04d98cd69d2cf4c77a39a7.jpg
16,0,265558880000,3493268117523331,__与尘__,3,保密,upup，可以上线音乐软件吗，太好听了[打call],2025-06-14 04:26:17,1,1,摆烂,广西,否,https://i1.hdslb.com/bfs/face/5b0ac68da0d3641360a117d9aac4b88765119619.jpg
17,265558880000,265561585360,396955031,imJack杰克,6,男,看置顶[脱单doge],2025-06-14 04:51:30,0,1,114514「哈基米音乐目前只做不太私人的（无动物园），填词可能会很公式，请谅解，后面如果脑抽了可能会做真私人音乐，游戏目前没动力剪辑更新」,重庆,是,https://i2.hdslb.com/bfs/face/33f34e42a0b479cfdcd4d823f459ad25bff25e80.jpg
18,0,265558424320,486932036,暮烔,5,保密,做个无名基米还是哈气天下,2025-06-14 04:20:21,0,1,这个人很奇怪，什么都没有写,福建,否,https://i2.hdslb.com/bfs/face/80adcd135e735ff7405d9984b682d5bb7cece2a6.jpg
19,0,264495244481,475289790,Sheele_,5,男,家人呢?,2025-06-14 01:39:50,0,0,hitorie,内蒙古,是,https://i0.hdslb.com/bfs/face/8781c43b11d90e24878431700f2593b55ec94df0.jpg
20,0,265533738768,475710823,蛋屯,6,保密,@别拦我俺去拯救世界 @摈弃幻想 @凌鱼游,2025-06-13 21:39:39,0,0,基波！哈！基！曼！波！,四川,是,https://i1.hdslb.com/bfs/face/b613a416ee3735a0433d11d4326093ed8d8339ad.jpg
