序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,265686658464,3546638758971625,阿轩0v0,4,保密,听完之后感觉自己长这样,2025-06-15 08:49:56,0,0,我的心情像去了皮的土豆，土豆是POTATO，去了p就剩oTATo,黑龙江,否,https://i1.hdslb.com/bfs/face/8a096d61b0238d5bce86289b3fd610588ad4086c.jpg
2,0,264550330801,194783,红师傅,6,女,喜欢那个叮叮,2025-06-14 12:08:58,0,0,基尔萨诺夫老农,广东,否,https://i2.hdslb.com/bfs/face/f93773bdfe85b34cb14b823fbc4a6b54b65940bf.jpg
3,0,265475741408,1814529309,面似北斗,5,男,@擱淺--- @三千鴉鎩 @nina的吉他 @叶落红时,2025-06-13 08:54:35,0,1,开心就好,上海,是,https://i0.hdslb.com/bfs/face/2912fef28aaab1d58eb028dc70df63fdaf6de3e7.jpg
4,0,264362755633,86901385,无聊过后,6,保密,我长耳朵就是为了听这个的,2025-06-12 13:39:27,0,0,,江苏,否,https://i1.hdslb.com/bfs/face/5e2d9a3bd291a63a375ca5a8a47dfc3e93516c93.jpg
5,0,264346546401,35323892,NomadJoe,6,男,byd怕被悬赏是吧,2025-06-12 09:59:42,0,0,,吉林,是,https://i2.hdslb.com/bfs/face/0b8ffab7cf1546c45bd8b72f9b631ad38234820a.jpg
6,0,264343862865,5882157,theNitwit,6,保密,为什么比原曲好听啊,2025-06-12 09:22:45,0,0,theNitwit,广东,否,https://i0.hdslb.com/bfs/face/7de510bec1587d9cf9bcee3fcf77cd38260cf983.jpg
7,0,265383739888,398426144,初生与华,6,保密,@Thefishtree @大力我的大力 @罗德岛弱女子 @lzh打瓦不如yjh @阿鸢随心所欲 @薯条爱上芥末酱 @是渡川a @金色秋风ol @碱式碳酸嵐 @Qfunction,2025-06-12 07:15:51,0,0,从你的全世界路过,山东,否,https://i2.hdslb.com/bfs/face/366fb7e72678b982228848b18486fc5b3f21509b.webp
8,0,265296296448,284644031,我是血血怪手臂,5,保密,快出完整版,2025-06-11 08:08:14,0,0,,重庆,否,https://i2.hdslb.com/bfs/face/e08bfa0f614faa113cd5c4f26ec60e03e3d2f325.jpg
9,0,264248397457,1729394054,棉花种植园联盟,4,保密,@爱睡觉的小小开,2025-06-11 07:39:58,0,0,,上海,否,https://i2.hdslb.com/bfs/face/acc1ca616b7ba6d091855eb56c74639f74dd32da.jpg
10,0,264173740097,495139456,九条圆鸽子,5,保密,"啊啊啊啊啊啊啊啊啊啊啊宝宝你是一个可可爱爱香香臭臭软软糯糯圆圆滚滚大大方方漂漂亮亮的胖胖宝宝[星星眼][星星眼]
哦嘛吉利曼波[小黄豆说_激动]",2025-06-10 10:39:49,0,3,请输入个性签名,四川,否,https://i1.hdslb.com/bfs/face/aa978bc3d6de279cdfc1aa31f2e3d58178128d24.jpg
11,0,265215934864,602006707,bili_73010397542,3,保密,UP能上传到微信麽，我想拿来当微信电话铃声[星星眼][星星眼]。主打一个折磨打电话来烦我的老板之类[星星眼],2025-06-10 10:19:32,3,0,,广东,否,https://i1.hdslb.com/bfs/face/f1d1d951e7c556855b3e6513a6364b1d30dfb037.jpg
12,265215934864,265216318176,602006707,bili_73010397542,3,保密,已经找到了[星星眼]，必须狠狠的折磨,2025-06-10 10:24:51,0,0,,广东,否,https://i1.hdslb.com/bfs/face/f1d1d951e7c556855b3e6513a6364b1d30dfb037.jpg
13,265216318176,265390535856,646214837,陈yl没有j,6,保密,回复 @bili_73010397542 :我已经用了好几天，领导已经夸我是神人了[嗑瓜子],2025-06-12 08:59:25,0,0,,内蒙古,否,https://i2.hdslb.com/bfs/face/2277ef6b92348645501ad59291a4ad51df24d266.jpg
14,265216318176,265390734416,646214837,陈yl没有j,6,保密,回复 @bili_73010397542 :【又哈了一天-哔哩哔哩】 https://b23.tv/Nd1knq0这个做铃声更南蚌[doge]，上来就开幕雷击,2025-06-12 09:00:51,0,0,,内蒙古,否,https://i2.hdslb.com/bfs/face/2277ef6b92348645501ad59291a4ad51df24d266.jpg
15,0,265190345888,604617949,Ayaya巜,3,保密,这是真正的音乐！[跪了],2025-06-10 04:23:45,0,2,Ayaya! Ayaya!!,山东,否,https://i1.hdslb.com/bfs/face/e7ed9f3cab8407a13bd7e09f2ece495508c53181.jpg
16,0,265180251712,142291111,亚历山大红心火龙果,6,保密,转载投转载，你是好人,2025-06-10 02:09:05,1,0,"雇佣兵火龙果！会不断进步带来更好的作品！
联系我们：youheart_personal@qq.com",浙江,是,https://i1.hdslb.com/bfs/face/e9768a439c4c5628a2672084ef2a3cbcb5b594af.jpg
17,265180251712,264293660145,215456283,Miya--Lily,6,保密,是自制投转载),2025-06-11 16:33:50,0,0,啦啦啦,山东,否,https://i0.hdslb.com/bfs/face/b8680c1222c83d4212c36dd40dbe4102ebb0686b.jpg
18,0,264136699201,284983282,两仪猫猫子,5,保密,@老飞宇66,2025-06-10 02:00:50,0,0,我们的负担理应将我们推向高处而不是拉进低谷,山东,是,https://i1.hdslb.com/bfs/face/75c20f1b02ef701edb37a89991a86b433a312592.jpg
19,0,264133905777,13736673,theskyclem,6,保密,出个完整版吧，我什么都会做的😭😭😭,2025-06-10 01:09:50,0,1,完全没理解,山东,否,https://i0.hdslb.com/bfs/face/f46d729d578c974b94ca11773eb1001e551e87ab.jpg
20,0,264073122465,23467654,契科夫的变色龙,6,男,【哈基米一样的雨】 https://www.bilibili.com/video/BV1ivJaz7E7a/?share_source=copy_web&vd_source=8f6b03e88b1f4ef310c513bdb0b20ff1,2025-06-09 08:18:30,0,0,,江苏,否,https://i1.hdslb.com/bfs/face/edb5d88919f6148f9279ce8716b445f6ffd4dcaa.jpg
21,0,265113881056,1833963627,桜花ouka,5,男,豪庭[香奈美·追寻那道光 应援装扮_mvp],2025-06-09 08:14:21,0,0,,浙江,否,https://i0.hdslb.com/bfs/face/c36427a60ad86d8101c8e43f659fdefe68186a04.jpg
22,0,264049481713,1606572361,大专巅崶,5,保密,好听[嘟嘟],2025-06-09 03:13:22,0,0,,湖北,否,https://i1.hdslb.com/bfs/face/bd6a8c1c0651d6df1376b8453ea534f355674b36.jpg
23,0,265061563312,36960322,_Hxj_修炼中,6,保密,@大天才琪露诺 [星星眼],2025-06-08 15:52:06,1,0,"一只车万画师，喜欢琪露诺和金发孩子
约稿等商务合作请联系邮箱2324184595hxj@gmail.com 
pid70315774",广西,是,https://i1.hdslb.com/bfs/face/e0343a2b502bbbd7483e742546dc2365feac1195.jpg
24,265061563312,265132586800,4959713,大天才琪露诺,6,保密,比原曲好听[喜欢],2025-06-09 11:39:54,0,1,,天津,否,https://i2.hdslb.com/bfs/face/989358e755a2e81ed4b21a6e271a61407791a8a6.jpg
25,0,264000430641,83549484,菌菌想中奖,6,保密,@魔女のエレナ,2025-06-08 12:08:08,0,0,中奖绝缘体，真的很想中一次奖,湖南,否,https://i0.hdslb.com/bfs/face/fc3a0754b1325d5738bcb95dae2707252378cddb.jpg
26,0,265032137808,1369735212,一条龙通用语,6,保密,真的比原曲好听,2025-06-08 10:46:07,0,2,我用的是ai发评论，然后人工润色，每天发布近400条,广西,否,https://i0.hdslb.com/bfs/face/34d9554dbabc1518b448edb9e003ba77785a5525.jpg
27,0,265021992176,3546680316135683,黄辣丁小子,4,保密,竟然有如此美妙的曼波音乐,2025-06-08 08:54:15,0,4,,四川,否,https://i2.hdslb.com/bfs/face/cd177974a28a0428264b4da5b2988f0bc8fb88ea.jpg
28,0,263958048801,1426877581,for白昼流星,5,保密,每天一首蜂蜜水音乐@深辰Q @z我的头又痛了 @生烬云 @沧海砂锅面 @A在法 @Shimitsu沉 @一到取名就犯难 @GdAvin @旻玟玖 @老细胞-,2025-06-08 03:43:39,0,0,故人叹情比金坚应不朽，爱恨交织不休,湖北,是,https://i1.hdslb.com/bfs/face/54309fa03093bdbf985c9d6477505c1c181bfd85.jpg
29,0,263953787793,1103585383,cen里,4,保密,@老飞宇66,2025-06-08 02:54:17,0,0,,江苏,否,https://i1.hdslb.com/bfs/face/84c42745a7c614c87547c0b6340fe4c8ee1b7762.jpg
30,0,263928590049,442933270,季啊彤,5,男,怎么还没火，速度的[笑哭][笑哭],2025-06-07 16:22:03,2,1,This is us,湖南,否,https://i1.hdslb.com/bfs/face/a01d1ea3db5464630db9410045ee1a75b8e5d2d8.jpg
31,263928590049,264991051296,117641412,Coldfish12138,6,男,牢罐你还催上了[笑哭]欠肘了,2025-06-08 02:44:26,0,0,若之太多懒得喷,湖北,否,https://i0.hdslb.com/bfs/face/0a058a7c9e7e5cf55f148f121aa947d3a203259e.webp
32,264991051296,263953378561,442933270,季啊彤,5,男,回复 @Coldfish12138 :beyond，真正想结束轮回的人是笑不出来的,2025-06-08 02:50:05,0,0,This is us,湖南,否,https://i1.hdslb.com/bfs/face/a01d1ea3db5464630db9410045ee1a75b8e5d2d8.jpg
33,0,263923725137,1432712475,朝师伊蕾娜,5,保密,谁懂刚开始wow~wow~wow~出来的时候的救赎感，出来了[热],2025-06-07 15:23:43,2,24,,浙江,是,https://i0.hdslb.com/bfs/face/521cddf4883a952daf8e5d7a33a16ba73b5e0c60.jpg
34,263923725137,264026881265,1405520087,AEgggggg,4,男,你怎么可以发语音,2025-06-08 17:02:51,0,0,,广东,是,https://i2.hdslb.com/bfs/face/7aa9180cb819b8eb3c31bf58395272000d9ae2c9.jpg
35,263923725137,265513138496,484684712,操旧业,5,保密,吃大粪去吧[笑哭],2025-06-13 14:59:18,0,0,ⓘ该账号封禁中,广西,否,https://i2.hdslb.com/bfs/face/4902794960eccfcab261c01f12c80670a13e0dc6.jpg
36,0,264941712848,1319775842,学笙吖,4,保密,@老飞宇66,2025-06-07 12:03:05,0,0,,湖南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
37,0,263880075825,294667772,宁小申鸽鸽,6,保密,@唯余星火,2025-06-07 07:08:06,2,0,你杠就是你对，你都已经这样了我为啥不顺从你呢,上海,是,https://i2.hdslb.com/bfs/face/9e694b713cbe19257088120854ccd0f026568996.jpg
38,263880075825,264916608592,1335911235,唯余星火,5,保密,豪庭,2025-06-07 07:12:09,0,0,终将加冕为王！,江苏,否,https://i0.hdslb.com/bfs/face/b4aaec4566b20e50bb369a10819c8129b8711fd8.jpg
39,263880075825,264916682736,1335911235,唯余星火,5,保密,@你来听虎纹章鱼为什么不来[Mygo表情包_为什么！],2025-06-07 07:12:44,0,0,终将加冕为王！,江苏,否,https://i0.hdslb.com/bfs/face/b4aaec4566b20e50bb369a10819c8129b8711fd8.jpg
40,0,263842278129,3372980,枭十丶,6,男,神作,2025-06-06 20:23:43,0,0,,广西,否,https://i2.hdslb.com/bfs/face/268193251d96a7de152b9899f465e488939527c4.jpg
41,0,263802082081,1834360166,麦鼠喜欢吃保险,5,男,"点进之前以为是问博尔特和刘翔谁跑得快
点进来以后发现是史铁生和霍金谁跑得快",2025-06-06 10:57:00,0,8,,安徽,否,https://i2.hdslb.com/bfs/face/2fb87a6649938a18f18b8038596502cfd9d4ec09.jpg
42,0,263801169425,922176,喵小茜_official,6,保密,太好听了，想起了小时候第一次听周杰伦的时候，想起了小时候第一次听林俊杰的时候，想起了小时候第一次听大狗叫的时候，临表涕零，不知所言,2025-06-06 10:49:00,0,1,个人势主播，感谢喜欢～   群群：921313752,安徽,是,https://i0.hdslb.com/bfs/face/ceba94a4482c6c39811c64cbcc469404568c60ec.jpg
43,0,263777692657,1263246750,哈哈米基米,4,保密,哈基米341,2025-06-06 05:33:44,0,1,,河南,否,https://i0.hdslb.com/bfs/face/b9134a16fe70c7307818bf78f8246350c52df74e.jpg
44,0,263777682705,20805053,抿茶听花,6,保密,真的好好听(￣3￣),2025-06-06 05:33:21,0,0,,广东,否,https://i2.hdslb.com/bfs/face/6eb71b6cab90756bd4e7d38633b3edc011ad6430.jpg
45,0,264802497888,1369735212,一条龙通用语,6,保密,这句哦马吉丽是我听过的最可爱的,2025-06-06 04:04:14,0,19,我用的是ai发评论，然后人工润色，每天发布近400条,广西,否,https://i0.hdslb.com/bfs/face/34d9554dbabc1518b448edb9e003ba77785a5525.jpg
46,0,263765756929,354901261,終末の旅人,5,男,叮！叮！,2025-06-06 03:14:17,0,0,woc！为什么看我简介？对不起我错了，我不该在网上口嗨，求你不要盒我好不好，我再也不口嗨了QAQ。,山西,是,https://i1.hdslb.com/bfs/face/7d37068736a18eb0eded5841ee39afd7a4a48893.jpg
47,0,263761855665,397215273,_金-雨_,6,男,@老飞宇66,2025-06-06 02:16:31,0,0,❤️,河北,否,https://i0.hdslb.com/bfs/face/f76ac7d71d799c5399b7a70b4c69a3b284130cc3.jpg
48,0,264791603328,545882061,0fficial,5,保密,求求了做个完整版吧我什么都会做的[给心心],2025-06-06 01:34:32,0,1,开罗的晚霞，又揭起时间的疤，高洁的法皇沉眠于高塔,陕西,否,https://i0.hdslb.com/bfs/face/6cfc3c6b89f7b792f903f515c636be4a9e8a5c1f.jpg
