序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,265274458528,592936218,luori落日,6,男,@我一定要想个好名字,2025-06-11 03:13:12,0,1,集批,辽宁,否,https://i0.hdslb.com/bfs/face/0c7ae7ff39c2daf5cd78fee2ca0d3ab6e5040199.jpg
2,0,264201566785,521671680,周木雅,4,男,@嗯嗯好的记在小本本上 @北极星_2018,2025-06-10 15:50:53,0,0,小识修改了老师的记忆，我的作业完成了。,安徽,否,https://i0.hdslb.com/bfs/face/a5de9f9d4e65df9b878be89ef4fa55e506a0e24a.jpg
3,0,265241036368,225675626,浅夏徐来,4,男,@老飞宇66,2025-06-10 14:54:36,0,0,,广东,否,https://i2.hdslb.com/bfs/face/88334675c240854ee86904dbdaecc290d5f04037.jpg
4,0,265234738272,3546824101071213,感时鼠溅泪,3,保密,神人,2025-06-10 13:46:38,0,0,,广东,否,https://i0.hdslb.com/bfs/face/85a02749a5beeb809862aee93a005423adc13543.jpg
5,0,265230362016,28901902,苏慕卿_,6,女,@落希空留心 哈基米慢波～,2025-06-10 12:58:25,0,0,My soul is always with you. ,山东,否,https://i1.hdslb.com/bfs/face/4356bb2224252b28488cf35c5139e0092a23c48f.jpg
6,0,264173256225,519230476,一万种选择,4,男,@老飞宇66,2025-06-10 10:34:30,0,0,,江西,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
7,0,264154880433,246598393,A-l-v-i-n,6,男,@暖暖゛,2025-06-10 06:00:24,0,0,取个名咋这么难，全是重名啊！！！！！！！！！！！！！！！！！！！1,加拿大,否,https://i1.hdslb.com/bfs/face/a567967140041259b43f86a0b16b669b51d9037a.jpg
8,0,265194621248,346778402,九韶trid,6,保密,@老飞宇66,2025-06-10 05:11:30,0,0,,新疆,是,https://i2.hdslb.com/bfs/face/392cc9fed76882dde994d85bcca67cca888eb733.jpg
9,0,264143239665,477072652,苏格拉底汤,5,男,@不吃香菜_咕咕版 @-seyana,2025-06-10 03:38:47,0,2,一代人有一代人的精神病,天津,否,https://i1.hdslb.com/bfs/face/2590eead43c7f5842b684ce0a771d3f6bf613ff9.jpg
10,0,265160255344,279360713,摆然后寄,5,保密,@老飞宇66,2025-06-09 16:29:37,0,0,！,广东,是,https://i2.hdslb.com/bfs/face/9fd5905d3b8dc86b285c2ab4fa12a63ed66906ef.jpg
11,0,265154916544,83948907,月月好困呐,5,女,笑死我了,2025-06-09 15:26:04,0,0,我们的试炼始于相遇那一天,河南,是,https://i0.hdslb.com/bfs/face/face77850dc0438c3fc49249dc1bebf14d575486.jpg
12,0,265133001552,403500032,是这样的但是我忘了,6,保密,[星星眼][星星眼][星星眼],2025-06-09 11:44:35,0,0,你说的很对,上海,是,https://i2.hdslb.com/bfs/face/b0b90f7e8f58a7a42430561d6c92181d8c44ea1e.jpg
13,0,265116565088,1470527906,反方向的蝉鸣,3,男,荣获我的第100个神人收藏,2025-06-09 08:48:13,0,1,哈基生物,江西,否,https://i2.hdslb.com/bfs/face/8fa18271db0bf3bf46f5e4fd131131ce3aa1fefa.jpg
14,0,265108794512,506628614,末末朝阳,5,女,@羊羊不会飞qwq,2025-06-09 07:02:11,0,1,在下末末，有何贵干,广东,否,https://i2.hdslb.com/bfs/face/e3bfb7f6a70bacf8eb02e2de3420b28bf136e83c.jpg
15,0,263934746657,1291685762,伍仟完全体,5,男,谁知道这种神人音频是怎么做的？,2025-06-07 18:06:15,0,1,我已是完全之仟！！！（破音）,河南,否,https://i2.hdslb.com/bfs/face/ad537b323f14719b6aa2f0d102f64cd715a48959.jpg
16,0,263832680177,440732054,ふうかせつげつ,6,保密,@老飞宇66,2025-06-06 16:24:31,0,0,PER ASPERA AD ASTRA,江西,是,https://i2.hdslb.com/bfs/face/52a9fa4a3914381ab69787a954abdd99f6fda906.jpg
17,0,264830698688,355927205,讨厌麻烦事er,5,男,@老飞宇66,2025-06-06 10:06:28,0,0,,河北,是,https://i2.hdslb.com/bfs/face/00b0bec2de432839bbb39ae323a329cdc2d712f8.jpg
18,0,263796138529,3546860895603655,我不吃取名,3,保密,5月神作,2025-06-06 09:57:17,0,0,骗接4000+，感觉我要似了,河北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
19,0,263723934929,3546703567259869,博宗MASTER,4,保密,真的神作这个,2025-06-05 13:09:39,0,0,溜冰，制冰，与再制冰,广东,否,https://i1.hdslb.com/bfs/face/a9f710f63a5367cc2ea8db4b01744639a543256d.jpg
20,0,263694063633,26114663,Azreal枭雄,6,男,这mv啥意思，鱼缸里最后就一天鱼了，老婆跑路了？论稳定性质的工作对婚姻的重要性。,2025-06-05 06:50:27,0,0,我喜欢原神，米哈游，我喜欢鸣潮，也喜欢华为,安徽,是,https://i2.hdslb.com/bfs/face/5519b76f9c535f45eb1c6c24f9b66701536ef931.jpg
21,0,264652443488,680847837,叼个小孩子吃,5,女,这首歌让我想起了小时候玩qq飞车[笑哭][笑哭],2025-06-04 10:23:09,0,0,。,广东,否,https://i0.hdslb.com/bfs/face/121fbb58ac1fb2dc1364d9bd3e4dbb7fcb8592b2.jpg
22,0,263541862801,1978807496,衍-生-物-诶,4,男,@老飞宇66 新曲子,2025-06-03 10:45:22,0,0,殇-伤,河南,否,https://i2.hdslb.com/bfs/face/979d69e2ccf6fe89432dd46dc265738a31b6d3bf.jpg
23,0,264516610864,71142647,黄粱一曲终成空,5,男,@老飞宇66,2025-06-02 17:50:06,0,0,"其实天很蓝,阴云终要散;其实海不宽,此岸连彼岸;其实泪也甜,当你心如愿;其实我要你,开心每一天.",河南,是,http://i2.hdslb.com/bfs/face/69e9666d6711ea1fc158d4350a2e6cf1b18c29a8.jpg
24,0,264515070048,25261903,Hide_on-peanut,6,女,@还需要活性氧 @卿墨Cherish @杞木--,2025-06-02 17:17:05,0,0,着急忙慌点进来查成分的你和厕所门口等答辩的狗好像啊,云南,否,https://i1.hdslb.com/bfs/face/e0a3936a6b4a5d7e8b456ba1c2cb4fb483048ecf.jpg
25,0,263466196753,650004179,溱羽墨,5,保密,@赤黎不吃梨,2025-06-02 12:28:05,0,1,ⓘ该账号封禁中,安徽,否,https://i2.hdslb.com/bfs/face/6e7e87674cd0c33122559eb2dd3b0e2768ce1a6e.jpg
26,0,264479409808,409634131,Tianqiset,5,保密,@人似秋鸿有来信,2025-06-02 10:38:09,0,0,,江苏,是,https://i1.hdslb.com/bfs/face/563a5dd3cded365c600bd4b6931a9557fbac988e.jpg
27,0,264411746256,169506406,嗨舞爱摸鱼,5,保密,@健康的馒头人 @害怕度娘 这个好溜[千恋万花表情包_zzz],2025-06-01 16:20:53,0,1,心有追求，才有前进的理由，人有目标，才不会在茫茫人生中随波逐流，为自己和他人，走好，走对，走正，迷路了就问，错了就回头,广东,否,https://i1.hdslb.com/bfs/face/2e43fa9f47e201ed0429aea4362a028a5ededf61.jpg
28,0,263387887681,518848271,心碎之声,5,男,@柯瓦特罗上校 @天道小板砖,2025-06-01 15:52:52,0,1,,湖南,是,http://i2.hdslb.com/bfs/face/f82c83c9ffd8d1199023e0e4bae035e74a9b4003.jpg
29,0,264399703776,476533349,清茶白芷相欢,5,保密,@请教艾莉丝魔法meow @在主义思潮的核心 @激光开采模块,2025-06-01 14:17:00,0,0,,辽宁,否,https://i2.hdslb.com/bfs/face/3f76bb2e38391d68034c6ef5fd1d9f4f8ee6b646.jpg
30,0,264395109616,397872667,佐藤老爷子啊,5,保密,@烷烯酸醚酯,2025-06-01 13:32:28,0,1,,北京,否,https://i1.hdslb.com/bfs/face/6a95f5e60e9c03fe37ae78e070e2388204412803.jpg
31,0,263361618849,384126077,亚拉丝琪,5,男,@山水长河,2025-06-01 11:20:30,0,0,,广西,否,https://i2.hdslb.com/bfs/face/88f5c0cbccf7c1ba2ae8e2729ebf05fb78042dca.webp
32,0,263334631793,24600696,水工日文,3,保密,@左系奇数_変態33ニャン @瞅你呢傻了吧唧的 @长在被子里 @稿子是魚,2025-06-01 05:54:16,0,3,,湖北,否,https://i0.hdslb.com/bfs/face/789c8cb7ed643ffd77a7f821b7cee34f9895e7ec.jpg
33,0,263315215281,3546384636578575,ukpkmkk_ohhh,4,保密,基里曼波慢？？[doge]莱昂波快哦,2025-06-01 02:16:43,0,0,,四川,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
34,0,264307216672,631878914,Reze心想事成,5,保密,@非洲一只老咸鱼 @-Frostnovaa- @Novius @dcmpsr @君子于役2333 woc开头就爽了,2025-05-31 15:34:20,1,0,今夜我陪你化成灰,天津,否,https://i2.hdslb.com/bfs/face/4af26eb2630d974fd786e4663bda9624dbf5d426.jpg
35,264307216672,264316196416,231292318,dcmpsr,6,保密,下次唱这个,2025-05-31 17:38:16,0,0,( ＞◡❛),天津,是,https://i1.hdslb.com/bfs/face/222b515cc73e8445eef3d39256fd4985c45358f2.jpg
36,0,264284908176,3546740957383279,我也硕士化,3,男,@老飞宇66 老78我要听这个,2025-05-31 11:41:21,0,0,,安徽,是,https://i1.hdslb.com/bfs/face/b9afca34c4c36a39adad51bea060e6575dfc5611.jpg
37,0,264269731632,7984529,不太会说话的利川,6,保密,@小艾斯德斯,2025-05-31 08:50:50,0,0,祝你开心每一天,上海,否,https://i2.hdslb.com/bfs/face/b13a83d5302d34ec1780dc6295406718d57d3ce1.jpg
