序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
1,0,264626730785,409637161,death星陨,5,保密,还有高手,2025-06-15 07:18:46,0,0,永远爱天依,重庆,是,https://i1.hdslb.com/bfs/face/826577cb5cbf70384577b3897c9c2185fd539dcf.webp
2,0,264625079057,418956774,shiki_Brunestud,5,保密,@久遠寺有珠KuonjiAlice,2025-06-15 06:58:48,0,0,领域外生命,福建,否,https://i0.hdslb.com/bfs/face/2dd6d47e31e382f2a421bf0c6dd7a265cf51fd10.jpg
3,0,264623501393,3461572309551774,我爱杨钰软,4,女,@懒哈哈大帝,2025-06-15 06:39:30,0,0,嗯嗯,河南,否,https://i0.hdslb.com/bfs/face/78535de27d74f3399ee7c95080ceca6dc9cce8f4.jpg
4,0,264623049153,3546389512456397,Ray__瑞,3,男,基督教这招太狠了,2025-06-15 06:33:15,0,2,积木moc爱好者，主攻1:120比,广东,是,https://i2.hdslb.com/bfs/face/2b8f1934f2fbde3010bf71185e61cb53442a0d5f.jpg
5,0,264619670049,44602585,Q一溪风月Q,6,男,@减脂人 @铸币专家_Taranx @曲终丶人散尽 @一只牛牛翻译机 @给生命涂上色彩 @KrestKoro1eva @跟雍哥玩儿 0：31,2025-06-15 05:54:07,0,1, 纵使光阴流逝，羁绊永不断绝,黑龙江,否,https://i1.hdslb.com/bfs/face/ad89468e34ab981cb2bcf719c2242b31453fb959.jpg
6,0,264619668001,286921770,路过的方源,5,男,我妈听到这歌过来骂了我一顿[笑哭]，说放的什么玩意[委屈],2025-06-15 05:54:03,0,1,,广东,是,https://i0.hdslb.com/bfs/face/aa1d0e9fa60ac05889aec3d36144d1da951139bc.jpg
7,0,265670562240,2024098621,_银河球棒侠_,4,保密,@wwwtjt @_奇迹复活 [保佑][保佑][保佑],2025-06-15 05:37:40,1,0,,河北,否,https://i1.hdslb.com/bfs/face/4a04a8a23c85920011d46890ff85ad21892b4f5d.jpg
8,265670562240,265671694224,620663701,_奇迹复活,5,保密,阿米诺斯[保佑],2025-06-15 05:50:54,0,0,,上海,是,https://i1.hdslb.com/bfs/face/bdd8c25e3b0ea350c22cfd05895ff96751834ba2.jpg
9,0,264617836561,84464771,Van世不恭,6,男,曼波拈花，基米微笑,2025-06-15 05:33:37,0,1,ⓘ 该账号封禁中,北京,是,https://i2.hdslb.com/bfs/face/595cfed48ba3c05196c89d6e174da64ce9eab426.jpg
10,0,265668697120,3546912235981048,晓灰灰灰灰灰,2,保密,如听仙乐耳在鸣[笑哭][笑哭][笑哭],2025-06-15 05:19:36,0,0,,湖北,否,https://i1.hdslb.com/bfs/face/452f1ca240add47f82789297ef863d86ca6b125b.jpg
11,0,264615730881,397756694,为君鹿鸣,6,男,@绵绵巧心结 我就知道[笑哭],2025-06-15 05:11:37,0,0,曾经沧海难为水，除却巫山不是云,福建,是,https://i2.hdslb.com/bfs/face/f8484b13f1bbdd76fb578caa2f4f20c00a4e6e7a.webp
12,0,264610936081,523515280,那你报警巴,5,男,@每亩一千八 @绫濑岬 @衱语 @蚝油瞧二狗 @叶林yt,2025-06-15 04:22:08,0,0,。。。。,吉林,否,https://i1.hdslb.com/bfs/face/2041335cc4e3c1c9318807c9454682a6331122f4.jpg
13,0,264608184721,3493108968851881,来114514个鸭脖,3,保密,阿米诺思[保佑],2025-06-15 03:54:50,0,0,。,浙江,否,https://i1.hdslb.com/bfs/face/c7258728173cac4af232338ad5c40a1a68263eaa.jpg
14,0,264607616161,437168786,你们的大爷12138,6,男,猫儿这个虔诚,2025-06-15 03:48:26,0,0,全世界最下流的东西（喜,上海,否,https://i2.hdslb.com/bfs/face/b4c7640216005d7a4ceeceada43767b08017201e.jpg
15,0,265658167424,1705800211,酷酷的落尘,4,保密,@不是人学也要学 让你难受,2025-06-15 03:34:48,1,0,,广东,否,https://i1.hdslb.com/bfs/face/9bb25c711edd9e42aa6c07620ec05c5dd6e6e828.jpg
16,265658167424,264614450113,2018990093,不是人学也要学,4,男,nm什么邪教,2025-06-15 04:57:47,0,0,"学理科补理科
应该有希望。",湖南,否,https://i2.hdslb.com/bfs/face/1b34f2e24f1f27432bdcc3356be040f0fd0b6a6c.jpg
17,0,265657190240,1669410925,东海的纯鹿人,5,保密,猴哥这招太狠了[doge_金箍],2025-06-15 03:25:27,0,0,,湖南,否,https://i1.hdslb.com/bfs/face/bd6fa2f4c1a10c5c50537d51f0f319da4bafd7ad.jpg
18,0,265655280848,571542009,葛鸽葛鸽,5,保密,@鸽子今天又咕咕了,2025-06-15 03:03:24,0,0,葛鸽葛鸽 我放鸽子,广东,是,https://i0.hdslb.com/bfs/face/916d4cc26fbb0c461077d0f9f09af5a25299a727.jpg
19,0,265654191984,3546630278089547,那艺娜一贝如塔,3,男,哈基本师阿弥若斯佛[保佑],2025-06-15 02:52:49,0,0,我就是一个臭六年级小学生，要是不小心说了什么别骂我,广东,否,https://i2.hdslb.com/bfs/face/e3b907fc9eb6722eebcf15cba15256a84cfa8049.jpg
20,0,264601740001,1168460859,赛博小萌,5,男,神人请来了[笑哭],2025-06-15 02:44:12,0,1,"开局霸体螺旋丸
",江苏,是,https://i0.hdslb.com/bfs/face/e8a01a83d121f1d482d9c9f93f1b0a3acb83b3ab.jpg
21,0,265652731520,3537109331741543,异界来客2,5,保密,基箍咒,2025-06-15 02:34:26,0,0,,湖北,否,https://i2.hdslb.com/bfs/face/fc23229b3feca49ab493adec583b3c1a9f316d4f.jpg
22,0,264600644641,479128062,幻想世界那么大,5,保密,@逸尘_CXH,2025-06-15 02:30:07,2,1,"1145
.S.J.R.C.H.P.宣传人员
群Q：907233771",广东,否,https://i0.hdslb.com/bfs/face/49c4c5c9ce88b437d188eb6d6127b1d280901a0f.jpg
23,264600644641,264602827073,3546632761116991,逸尘_CXH,5,男,基督教徒看的很爽[doge],2025-06-15 02:56:40,0,0,嗯……本人成分复杂，喜欢二次元，历史，政治，冷番，特摄，游戏……总之就是乱七八糟，会在主页下发布自己混的圈子的视频,广东,否,https://i1.hdslb.com/bfs/face/0de796ff9f0ff25f071bdeede0a47b41910c4dd1.jpg
24,264602827073,264607572977,479128062,幻想世界那么大,5,保密,回复 @逸尘_CXH :[doge],2025-06-15 03:48:53,0,1,"1145
.S.J.R.C.H.P.宣传人员
群Q：907233771",广东,否,https://i0.hdslb.com/bfs/face/49c4c5c9ce88b437d188eb6d6127b1d280901a0f.jpg
